adm_cd,gu,dong,x,n,long,lat
1116055,강서구,화곡본동,1,34612,126.848162,37.54257376
1116057,강서구,화곡2동,0,18096,126.8543682,37.53227844
1116058,강서구,화곡3동,1,21661,126.8342728,37.54405576
1116059,강서구,화곡4동,1,20820,126.8585756,37.53609824
1116061,강서구,화곡6동,1,25096,126.8511659,37.5517219
1116063,강서구,화곡8동,0,24789,126.8486334,37.53422071
1116064,강서구,가양1동,3,34395,126.8343471,37.57310053
1116065,강서구,가양2동,3,14109,126.8540072,37.56865706
1116066,강서구,가양3동,2,15138,126.8622967,37.56268228
1116067,강서구,발산1동,2,36572,126.8255767,37.55044737
1116069,강서구,공항동,1,31483,126.7949567,37.55649098
1116070,강서구,방화1동,0,43181,126.8175504,37.56864279
1116071,강서구,방화2동,4,23656,126.8045064,37.58380446
1116072,강서구,방화3동,1,22924,126.8155342,37.58158459
1116073,강서구,화곡1동,2,52770,126.840936,37.53378027
1116074,강서구,우장산동,4,43129,126.8410151,37.55057211
1117051,구로구,신도림동,0,36342,126.8828466,37.50973385
1117052,구로구,구로1동,0,21166,126.8754605,37.49303215
1117054,구로구,구로3동,0,25157,126.8949839,37.48487855
1117055,구로구,구로4동,5,23745,126.8901972,37.49153575
1117056,구로구,구로5동,4,31822,126.8884808,37.50203021
1117061,구로구,고척1동,3,22657,126.8633991,37.50065876
1117062,구로구,고척2동,2,27092,126.8533114,37.50585449
1117064,구로구,개봉2동,2,31314,126.856364,37.4927299
1117065,구로구,개봉3동,2,20590,126.8524112,37.48683576
1117067,구로구,오류1동,3,23155,126.841634,37.49696398
1117074,구로구,항동,0,16476,126.8244929,37.48102879
1117069,구로구,수궁동,0,23806,126.8260696,37.49827721
1117070,구로구,가리봉동,4,13091,126.8882567,37.48255546
1117071,구로구,구로2동,7,31164,126.8794941,37.4974548
1117072,구로구,개봉1동,3,34560,126.849876,37.49988482
1118051,금천구,가산동,3,26179,126.8843407,37.47683526
1118052,금천구,독산1동,2,46698,126.8927203,37.46419939
1118053,금천구,독산2동,1,20175,126.902554,37.46382547
1118054,금천구,독산3동,5,27595,126.9045938,37.47593304
1118055,금천구,독산4동,0,16778,126.9040517,37.46921875
1118057,금천구,시흥1동,3,34533,126.9001461,37.45288648
1118058,금천구,시흥2동,1,21351,126.9200731,37.45058997
1118059,금천구,시흥3동,0,10951,126.9059256,37.4402763
1118060,금천구,시흥4동,2,20916,126.9091055,37.46007805
1118061,금천구,시흥5동,1,19715,126.9124311,37.44874995
1119054,영등포구,여의동,6,33420,126.9275709,37.52748903
1119055,영등포구,당산1동,2,20648,126.8968512,37.52393073
1119056,영등포구,당산2동,3,37911,126.9039118,37.5329829
1119061,영등포구,양평1동,4,18487,126.8870734,37.52507415
1119062,영등포구,양평2동,2,22499,126.8941779,37.54060041
1119063,영등포구,신길1동,3,18755,126.9195105,37.51233791
1119065,영등포구,신길3동,2,17575,126.9058866,37.5064471
1119066,영등포구,신길4동,0,13089,126.9129179,37.50728458
1119067,영등포구,신길5동,1,11701,126.9055547,37.50111709
1119068,영등포구,신길6동,3,19869,126.9135411,37.49915626
1119069,영등포구,신길7동,1,20158,126.9198031,37.50579781
1119070,영등포구,대림1동,1,17067,126.9052616,37.49376859
1119071,영등포구,대림2동,5,18162,126.9006434,37.48963464
1119072,영등포구,대림3동,1,25876,126.8972722,37.49986827
1119073,영등포구,영등포본동,7,23152,126.9096958,37.51372246
1119074,영등포구,영등포동,11,29901,126.9078421,37.52152233
1119075,영등포구,도림동,1,19826,126.9012358,37.50927725
1119076,영등포구,문래동,3,32812,126.8914717,37.51638046
1120052,동작구,노량진2동,3,11550,126.9380026,37.51092998
1120053,동작구,상도1동,4,45485,126.9534704,37.49832855
1120054,동작구,상도2동,3,28362,126.9420601,37.50367378
1120055,동작구,상도3동,2,24846,126.9333544,37.49722769
1120056,동작구,상도4동,3,28914,126.9407635,37.49742885
1120063,동작구,사당1동,3,23321,126.9774092,37.47971693
1120065,동작구,사당3동,1,24548,126.970862,37.48881204
1120066,동작구,사당4동,1,14301,126.97077,37.48059083
1120067,동작구,사당5동,3,14558,126.9650402,37.48580389
1120068,동작구,대방동,0,38338,126.9280262,37.50711415
1120069,동작구,신대방1동,1,24999,126.9107055,37.48994822
1120070,동작구,신대방2동,2,21404,126.9215319,37.4943097
1120071,동작구,흑석동,4,33293,126.9637629,37.50629622
1120072,동작구,노량진1동,4,32298,126.9491547,37.51302538
1120073,동작구,사당2동,3,28147,126.9751918,37.49823275
1121052,관악구,보라매동,1,24918,126.9325945,37.49035779
1121054,관악구,청림동,3,15214,126.9595685,37.48941469
